Date,FTSE Canada NHA MBS 975 Index,Discount Mortgage Rate 5yr,Conventional Mortgage 5yr,CPI Inflation,Labour Market Indicator (LMI),Inflation Expectations Implicit in Real/Nominal Bond Spread,New housing Price Index,
2021-10-25,162.5077,1.79%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-10-26,162.4849,1.79%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-10-27,161.8164,1.79%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-10-28,162.03,1.79%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-10-29,161.7862,1.79%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-01,161.7094,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-02,161.8561,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-03,161.7513,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-04,162.1276,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-05,162.2734,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-08,162.1653,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-09,162.3193,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-10,161.9503,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-11,161.9503,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-12,161.9766,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-15,161.9448,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-16,161.7567,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-17,161.8873,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-18,161.9154,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-19,162.0407,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-22,161.6955,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-23,161.6518,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-24,161.6553,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-25,161.7045,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-26,162.294,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-29,162.2451,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-11-30,162.214,2.09%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-01,162.2145,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-02,162.2222,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-03,,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-06,161.9212,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-07,161.6493,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-08,161.8095,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-09,162.1462,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-10,162.3321,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-13,162.5853,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-14,162.4782,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-15,162.5705,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-16,162.7346,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-17,162.7404,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-20,162.7,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-21,162.4213,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-22,162.4544,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-23,162.4539,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-24,,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-29,,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-30,162.4628,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2021-12-31,162.6053,2.19%,4.79%,4.70%,6.20%,1.80%,11.60%,
2022-01-04,162.2679,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-05,162.17,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-06,,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-07,161.9251,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-10,161.9369,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-11,161.9499,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-12,161.8868,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-13,161.8605,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-14,161.7502,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-17,161.7502,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-18,161.279,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-19,161.2662,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-20,161.276,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-21,161.4122,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-24,161.5655,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-25,161.5082,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-26,161.5948,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-27,161.4101,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-28,161.5377,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-01-31,161.3454,2.34%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-01,161.3653,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-02,161.4957,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-03,161.4353,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-04,161.2455,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-07,161.3001,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-08,161.274,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-09,161.3238,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-10,160.8648,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-11,160.8481,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-14,160.7643,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-15,160.6701,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-16,,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-17,160.835,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-18,160.9273,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-22,160.8238,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-23,160.6994,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-24,160.8812,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-25,160.8459,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-02-28,161.1404,2.44%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-01,161.7283,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-02,,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-03,161.2428,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-04,161.62,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-07,161.6241,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-08,161.3973,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-09,161.1947,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-10,161.0087,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-11,160.6308,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-14,160.2163,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-15,160.1303,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-16,159.8322,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-17,159.8089,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-18,159.829,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-21,159.4293,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-22,159.1114,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-23,,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-24,158.9455,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-25,158.3094,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-28,158.2128,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-29,158.2917,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-30,158.4504,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-03-31,158.4993,2.59%,4.79%,5.70%,5.60%,1.80%,11.60%,
2022-04-01,158.2904,3.04%,4.79%,6.80%,5.60%,1.80%,11.60%,
2022-04-04,158.426,3.04%,4.79%,6.80%,5.60%,1.80%,11.60%,
2022-04-05,158.1906,3.04%,4.79%,6.80%,5.60%,1.80%,11.60%,
2022-04-06,158.144,3.04%,4.79%,6.80%,5.60%,1.80%,11.60%,
2022-04-07,158.3271,3.04%,4.79%,6.80%,5.60%,1.80%,11.60%,
2022-04-08,158.0481,3.04%,4.79%,6.80%,5.60%,1.80%,11.60%,
2022-04-11,158.0157,3.04%,4.79%,6.80%,5.60%,1.80%,11.60%,
2022-04-12,158.3676,3.04%,4.79%,6.80%,5.60%,1.80%,11.60%,
2022-04-13,158.5113,3.04%,4.79%,6.80%,5.60%,1.80%,11.60%,
2022-04-14,158.1559,3.04%,4.79%,6.80%,5.60%,1.80%,11.60%,
2022-04-18,158.1229,3.04%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-04-19,157.9353,3.04%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-04-20,157.6066,3.04%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-04-21,157.3114,3.04%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-04-22,157.3462,3.04%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-04-25,157.8553,3.04%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-04-26,158.0431,3.04%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-04-27,157.9964,3.04%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-04-28,157.8854,3.04%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-04-29,157.6064,3.04%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-02,157.4659,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-03,157.3047,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-04,157.3972,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-05,157.3419,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-06,157.4717,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-09,157.6974,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-10,157.7971,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-11,157.528,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-12,157.864,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-13,157.818,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-16,157.9543,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-17,157.4287,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-18,157.4026,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-19,157.5659,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-20,157.8651,3.49%,4.99%,6.80%,5.60%,1.80%,11.60%,
2022-05-24,158.2385,3.49%,5.39%,6.80%,5.60%,1.80%,11.60%,
2022-05-25,158.2946,3.49%,5.39%,6.80%,5.60%,1.80%,11.60%,
2022-05-26,158.2812,3.49%,5.39%,6.80%,5.60%,1.80%,11.60%,
2022-05-27,,3.49%,5.39%,6.80%,5.60%,1.80%,11.60%,
